제목,링크
"SK브로드밴드, 크리스마스 맞아 키즈 서비스 프로모션",https://news.google.com/read/CBMiXEFVX3lxTE5zWEVkYmRRYTlEMHh2UTh4NjNTY1luOVhNZTNWWlFvYlJvMXRaWmxzNDlRQ1FDbnZoNjdHTHg5WTlPbEJNamVXVEk0UDdBOXdDTUZSOXhZWWhVSEl30gFXQVVfeXFMTzBFd19PMXJWbW1sN3RNRldwNUhXVEpJalNIbEF4NUl0NTdCNjJKbEM2RWhGdGVtdjhfVEtXZUJkdGJhVm1fbWJkT0dMcmVEbkRzc1NGMHRn?hl=ko&gl=KR&ceid=KR%3Ako
"B tv, 성탄 맞아 학습 콘텐츠 제공 프로모션",https://news.google.com/read/CBMiW0FVX3lxTFAtTWw0TWoyZjRKR1JsQTF3eWpIdzF6N3d5czY5V2RvM2dycGg3M3p2NFVGcUpYUTNuQnNSVHVoU2lsN3A5c1dJLXpQcl9aWk1oYllzNjRrZXp0QVXSAV5BVV95cUxOclZXN2QzZzZ6ZGlGVGpKZlVlVU5xaXZGQ1NPVjBlcG5GcE1FSU54UU1GSmJjZmlyWGFZZTBvNlNvLTFYREJuQVByLTRkN2p5bERsMUVvaGdPbVFraDZn?hl=ko&gl=KR&ceid=KR%3Ako
"""TOP 50 콘텐츠 구매하면 키즈 인터랙티브 놀이펜 드려요""",https://news.google.com/read/CBMiX0FVX3lxTE1UWlNQQ1gzSVI4YjA5dTE4MjE1TEFqNnpvanlvWjFndjJDX3VGcHlvV1E5eTJLWDAxN3NyR1dOMmJhTHczRUh3aGVGR3V5cFo1VzA4Q19ndDQ3Mk9taFJr?hl=ko&gl=KR&ceid=KR%3Ako
"SK브로드밴드, 크리스마스 맞이 B tv '잼어워즈' 프로모션",https://news.google.com/read/CBMiTkFVX3lxTE9WaXBsa3BBVlJtTFpQb0I2Yk9keTFUUnlydWFNU2JYOVJPSTZNSUZNendUbUppYjJIYjBZVnhMb2hPZkp6VkNVQTdmaVJ3Zw?hl=ko&gl=KR&ceid=KR%3Ako
"2K, '시드 마이어의 문명7' TGA 2024서 오프닝 시네마틱 영상 공개",https://news.google.com/read/CBMiVkFVX3lxTFBHNHJiX0hsZERkUHc5ZThkMS14NnFLVjVOVE11Q2lRRGZqNjR6Yld4T3BwUU1nNUpObHVnVUtDdTRvbGI5SV96RmczQVB4cnU4Q0FaWU53?hl=ko&gl=KR&ceid=KR%3Ako
내년 출시 예상 해외 게임 ‘줄 대기’…한국 공략 왜 줄잇나,https://news.google.com/read/CBMiZ0FVX3lxTFBqLUFVWW1QeXlodFktZTVwTEgxRUdrSExTTEotS1Raek5BLVdaWU5tWVBhQVJvQk1qWUZYUlVIR3B0Y3k2bXZFbldzRGsxWkQtU0RFQnctWlJtVWJzaTlhZ1BydHYwa03SAWtBVV95cUxPbHp1SFFTaGdDOXV0WE9ramFpNHM1UC1vcjNTQUQycERFYXhJX0lQMVZwWW5xb1hYaWtrakZEWVhreUo1anRrRjRnckRzNUlEYmZVTTAzcTZmdTlQTVRHb0tUMU9hbERGakVScw?hl=ko&gl=KR&ceid=KR%3Ako
[동영상] 드디어 공개된 시드 마이어의 문명 7!! 정말 기대된다!!,https://news.google.com/read/CBMiU0FVX3lxTFBCbzVRLTlaNjJyeGJoc1J1aFNjc2VKOWZDMGNUem1zWU5Hb3ZLVHFRMTNobklwM2JsZ3ptVzFvXzBpdHNSWGZFOU5UQ3FsQVlWMXhJ?hl=ko&gl=KR&ceid=KR%3Ako
"2K, 'TGA 2024'서 차기작 영상 공개... '문명7-보더랜드4' 등장에 관람객 '환호'",https://news.google.com/read/CBMiVEFVX3lxTE9NYy1WZWhyVVhWenZQdElRNzlmM0J2SmhZd2dXMXJZSFFGbk1jZllWa1I0X2xhQ0JuQ1ZoQ004MzFmWjA1N0p2dHp1Qk9DSURnVzExYg?hl=ko&gl=KR&ceid=KR%3Ako
"""아이폰17 에어, 폭스콘서 초기 시험 생산 시작""",https://news.google.com/read/CBMiVkFVX3lxTE9QcXpEcU4xTFZiQmNrVnd5TmNLdjNPUjFIbk9LWnk3c2Y1aC1JR2RsUW13S0N0a1lMNkF6QU9Jdjc5MGdtU0E3c3lCcVVYT2hSSEJnRnB3?hl=ko&gl=KR&ceid=KR%3Ako
맥북에어 봉투에서 꺼냈던 잡스처럼...“팀쿡의 아이폰17에어 ‘이것’ 보다 얇을 것”,https://news.google.com/read/CBMiTkFVX3lxTFA5XzlWWHpOckJTRFpFd01BcW5CZ3YxaVhQNFUtZ0d1Vk1IMWRoOExBVDhWVmtidG5rTXJwVzh3ZkJrTDBQVndndThxb3RxQQ?hl=ko&gl=KR&ceid=KR%3Ako
"아이폰17 프로, 후면 카메라 디자인 바뀐다",https://news.google.com/read/CBMicEFVX3lxTE9lZjVYN2RfVUFaR0lRek5LaFNYNV83Z2VmQ0lvZjdLOGVHVDdpMVAxQmZ0MkNhWVBBU0hNemVNczN4ZEtHLWJQUkMwQ3ZGRDJyZC0wQTh5YTVoRldHWUtzX0lXNmpRWTJSTi1Gb0h1dW3SAXRBVV95cUxPVnMwYWtDZjZUS3dGdGRpOEp1U001RUcxRGpraGFWLVZ0SUUtX015YWREdGZaY0ZfUDM5bjFIY1h6ODhVYUN6SEF1dnotWG5hWTVVTmp5Zkg0V0JJQ2l5MDlVV0NnX25fOUR4UGVhbXdqQ1Q0Tg?hl=ko&gl=KR&ceid=KR%3Ako
